customer_id,product_name,product_id,Review_Score
15438Ai50gb6b20b86e3d6d4j659dggfcb330a,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
22529A41jdd13f34ih6c0dd7e567agf7j477h7,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
17139Aa72dgj9hc9h66f180hff2agcfgf94f8d,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,4
33008A3efheaiha8acbjcg3c706a0c21jgj227,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
41377A0j7i50ga4a7jha5hib2c7476agd5dgb5,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
28880A2i9752i20h2gb5dfdebe09dgb63hbfd4,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
7413A20gg81agjd10abj84b9c574gijefed7j,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
27116Aga90if42d9g424093687b0i00ha6ifdg,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,5
21846A4f62140f6d7gc2bgfbi1eecegcbfh3h7,Utility Lighter,8446Ajajdi16a137i3b05i7d3g0e1dfh9d29d,1
15438Ai50gb6b20b86e3d6d4j659dggfcb330a,"Syrup, Maple Creme",24469Aj3c18e8adide5c510a8jhgbbga0chj47,5
1389Ag082cg2562fjad9f9i0jfeb1ee7007b4,"Syrup, Maple Creme",24469Aj3c18e8adide5c510a8jhgbbga0chj47,1
33237Add48ic6536506c95hifc6b1hbc7ha3hg,"Syrup, Maple Creme",24469Aj3c18e8adide5c510a8jhgbbga0chj47,5
17139Aa72dgj9hc9h66f180hff2agcfgf94f8d,Vegan Alfredo Sauce Arugula Pesto,20672A3bi81f4d94181a083d6919df1be9i1af,1
17769Af783bechcfj5a828349d609ei6779ca6,Vegan Alfredo Sauce Arugula Pesto,20672A3bi81f4d94181a083d6919df1be9i1af,5
993A1gbibcgjc14dh7i06d791hfa60i0i827,Vegan Alfredo Sauce Arugula Pesto,20672A3bi81f4d94181a083d6919df1be9i1af,3
33008A3efheaiha8acbjcg3c706a0c21jgj227,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,5
5168A566a6aag5578a9b394997205e1d68ic0,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,4
13502Acgdd7gh5j355ihjc0463g47i0g55ccgi,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,5
33625A7h7e1e2g1aegc9cad2bb1e76i1jjge0f,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,4
20900Aib2gdj0d44e90955abch0g2ib5dhi30c,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,5
25757A3ihcibdga1352245952e3edd92g5a4cj,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,5
28600Ajgeca61dgh6a526297c56a3gigb27j62,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,2
25826Afei0332270d36bi2i834fg5i36d1h76j,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,1
14583A050119465b0fbcfic0e8015fdbe66bej,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,4
23029Aii73ec45eg3c324gjbeh4ih03i7d21ia,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,3
37820Ag63d55997068gfc5h004gf941fdbh75e,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,1
26612Aei118cf598f385df819b40ag9j1g2g9g,Disposal Cleaner,14691Acifcad272bcf1a23c71cdb3ci24i7hgj,3
33008A3efheaiha8acbjcg3c706a0c21jgj227,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
227A05b169h2cf5i321b4ab09hb24hf17dhi,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
1776Ab3g3h687gfjg35ag20fhgf65b8h2b321,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,2
6738A6bec74bh1dhbh818h10hffdj4297af2j,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,2
41211A2dg180e90i2b8944d6a06eff4jcg73gi,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
38408A4e38fejaheda5335c1h019j9g36i9i80,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,4
9326Af29c56fi0506g3f9i8c0f0bc32g4hi49,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
7595A5b1gigc812fee7ic6e76d725589bagg6,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
6326A2d33435b5991b7jc6c1bh454h70i76ce,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
21491Agbccib6hjf1hiaj1712bh2518b1g4g2f,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
26038Aceb6bbh500307697hhi45i5be9a2g0i8,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
5212A8a09345ifj43i42b7hbggab4h8804662,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
10834Ah9ii800961760jh8hjgg34e03dg9dif4,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
705Ad66d872fc824jg4798g1geh411aaaije,Light String Cheese,852Ac36edjf451j470d5jfb80gag5f6h3b43,5
